KnapsackId,NumberOfItems,CpuTime,NodesVisited,Error
1,20,0.0,15271,0.0
2,20,0.0,13639,0.0
3,20,0.0,10897,0.0
4,20,0.0,11313,0.0
5,20,0.0,12880,0.0
6,20,0.0,11915,0.0
7,20,0.0,14679,0.0
8,20,0.0,11688,0.0
9,20,0.0,11874,0.0
10,20,0.015625,15105,0.0
11,20,0.0,13319,0.0
12,20,0.0,12138,0.0
13,20,0.0,14154,0.0
14,20,0.0,13653,0.0
15,20,0.0,15159,0.0
16,20,0.0,14488,0.0
17,20,0.015625,13442,0.0
18,20,0.0,11271,0.0
19,20,0.0,11309,0.0
20,20,0.0,17644,0.0
21,20,0.0,11145,0.0
22,20,0.0,14502,0.0
23,20,0.0,18455,0.0
24,20,0.015625,14030,0.0
25,20,0.0,13831,0.0
26,20,0.0,12577,0.0
27,20,0.0,13651,0.0
28,20,0.0,16027,0.0
29,20,0.0,14426,0.0
30,20,0.015625,11247,0.0
31,20,0.0,14445,0.0
32,20,0.0,11561,0.0
33,20,0.0,13460,0.0
34,20,0.0,12776,0.0
35,20,0.0,9183,0.0
36,20,0.0,17688,0.0
37,20,0.015625,14066,0.0
38,20,0.0,12128,0.0
39,20,0.0,10660,0.0
40,20,0.0,13330,0.0
41,20,0.0,13639,0.0
42,20,0.0,9993,0.0
43,20,0.0,14398,0.0
44,20,0.015625,19101,0.0
45,20,0.0,14438,0.0
46,20,0.0,15070,0.0
47,20,0.0,14707,0.0
48,20,0.0,13353,0.0
49,20,0.0,15360,0.0
50,20,0.0,10106,0.0
