KnapsackId,NumberOfItems,CpuTime,NodesVisited,Error,Item_0,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10,Item_11,Item_12,Item_13,Item_14,Item_15,Item_16,Item_17,Item_18,Item_19,Item_20,Item_21
1,22,0.0,0,0.0,true,true,false,true,true,true,false,false,true,false,true,true,false,true,true,true,true,false,true,true,false,true
2,22,0.0,0,0.0,true,true,false,false,true,false,false,false,true,true,true,true,false,false,false,true,false,true,false,false,false,false
3,22,0.0,0,0.0,true,true,true,false,false,false,true,true,false,true,true,true,true,false,true,true,false,true,true,true,true,false
4,22,0.0,0,0.0013230737091326904,true,true,false,false,true,true,true,true,false,true,true,false,false,true,false,true,true,true,true,true,true,true
5,22,0.0,0,0.0,true,true,false,true,true,true,true,true,false,true,true,true,true,true,true,true,false,true,true,true,false,false
6,22,0.0,0,0.0,true,true,false,true,true,true,true,true,true,false,true,true,true,true,true,true,false,true,true,true,true,true
7,22,0.0,0,0.0,false,false,true,true,false,false,false,false,false,true,true,false,false,false,false,false,false,false,true,true,true,false
8,22,0.0,0,0.027388387693731205,true,true,true,false,true,true,true,true,false,true,true,false,false,true,true,false,false,true,true,false,true,false
9,22,0.0,0,0.0,true,false,true,true,true,false,true,true,true,true,true,true,true,false,true,false,true,true,true,true,true,false
10,22,0.0,0,0.0036686729721983375,true,true,false,false,true,false,false,false,false,false,true,true,true,true,true,false,false,false,true,true,true,false
11,22,0.0,0,0.0,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
12,22,0.0,0,0.0114288337081746,false,true,true,true,false,true,false,false,true,true,false,true,true,true,false,true,true,false,false,false,true,true
13,22,0.0,0,0.0,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,false,true,true,true,true,true
14,22,0.0,0,0.0,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,false,true,true,false,true
15,22,0.0,0,0.002824725766206864,true,false,false,true,true,true,true,true,true,true,false,true,true,true,true,true,false,false,true,true,true,true
