KnapsackId,NumberOfItems,CpuTime,NodesVisited,Error
1,20,0.0,22,0.0
2,20,0.0,23,0.0
3,20,0.0,31,0.0
4,20,0.0,28,0.0
5,20,0.0,19,0.0
6,20,0.0,34,0.0
7,20,0.0,61,0.0
8,20,0.0,50,0.0
9,20,0.0,19,0.0
10,20,0.0,206,0.0
11,20,0.0,18,0.0
12,20,0.0,19,0.0
13,20,0.0,59,0.0
14,20,0.0,104,0.0
15,20,0.0,18,0.0
16,20,0.0,20,0.0
17,20,0.0,48,0.0
18,20,0.0,21,0.0
19,20,0.0,53,0.0
20,20,0.0,64,0.0
21,20,0.0,72,0.0
22,20,0.0,22,0.0
23,20,0.0,35,0.0
24,20,0.0,21,0.0
25,20,0.0,24,0.0
26,20,0.0,18,0.0
27,20,0.0,33,0.0
28,20,0.0,66,0.0
29,20,0.0,22,0.0
30,20,0.0,34,0.0
31,20,0.0,31,0.0
32,20,0.0,95,0.0
33,20,0.0,21,0.0
34,20,0.0,54,0.0
35,20,0.0,19,0.0
36,20,0.0,18,0.0
37,20,0.0,57,0.0
38,20,0.0,36,0.0
39,20,0.0,27,0.0
40,20,0.0,18,0.0
41,20,0.0,48,0.0
42,20,0.0,121,0.0
43,20,0.0,47,0.0
44,20,0.0,33,0.0
45,20,0.0,38,0.0
46,20,0.0,17,0.0
47,20,0.0,24,0.0
48,20,0.0,26,0.0
49,20,0.0,45,0.0
50,20,0.0,31,0.0
